,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t151,-0.073104054,1.2097276,-0.116724834,-0.07517235,17.674904,-1.2424644,0.01236065,0.17297503,0.1349611,0.828671,-0.74000823,-0.259628,2.5258136,-0.072990954,-0.25881404,43.481297,3.411433,1.3285824,-0.43965906,25.038343,-0.16630691,2.0591578,-0.47275785
t188,-0.07376274,1.2074084,-0.118685104,-0.0762802,17.708239,-1.2433126,0.013251031,0.16873415,0.1355133,0.82956845,-0.74054664,-0.25917032,2.5247157,-0.07264097,-0.2629915,43.504723,3.4200847,1.3293393,-0.44016296,25.04936,-0.16628827,2.0590549,-0.4731543
t189,-0.07373477,1.2165604,-0.11848612,-0.074948296,17.705667,-1.2433937,0.013141372,0.16888806,0.1353006,0.8290542,-0.74078816,-0.25960007,2.5267467,-0.07267745,-0.26419073,43.514114,3.4434102,1.3310895,-0.44083133,25.05409,-0.16619654,2.058757,-0.47260138
t170,-0.07306958,1.2350813,-0.11947027,-0.07631018,17.656286,-1.239977,0.014350642,0.2060791,0.1360635,0.8303804,-0.7410322,-0.25943005,2.5281558,-0.07224355,-0.25883585,43.55788,3.400794,1.3306272,-0.44030964,25.107622,-0.1636574,2.0604892,-0.4741422
t186,-0.07328789,1.2434281,-0.12069831,-0.07395297,17.649313,-1.238881,0.014365561,0.22641708,0.13591075,0.83010787,-0.74080616,-0.26003852,2.5289752,-0.072272845,-0.261844,43.563545,3.424785,1.3332596,-0.44051096,25.129656,-0.16461095,2.0616715,-0.47418088
t187,-0.073185414,1.2359236,-0.12036787,-0.0704743,17.653978,-1.2404106,0.014332894,0.23306654,0.13607125,0.8304031,-0.7402026,-0.2606226,2.5311234,-0.072229974,-0.2613304,43.56829,3.427198,1.3326129,-0.4408905,25.132738,-0.16401118,2.0622413,-0.47401512
t138,-0.07369236,1.2195256,-0.11998917,-0.07029835,17.673948,-1.2373043,0.013704995,0.19952707,0.13778861,0.82807875,-0.73813134,-0.25785837,2.5168219,-0.07216782,-0.26199728,43.415688,3.3935328,1.3251476,-0.43910646,24.993963,-0.16543634,2.0537305,-0.4724884
t73,-0.052366883,5.7327957,-0.20764194,3.4459136,13.097461,-0.8436842,0.065062106,2.7594762,0.28922838,0.6167696,-0.6004254,-0.2867098,2.1848822,-0.047698915,-0.5527366,39.572517,7.5782237,1.233626,-0.48792198,22.18176,-0.07077305,1.5478833,-0.38160178
t88,-0.051065218,6.4341803,-0.22059676,3.8090465,12.474112,-0.7944127,0.07117812,2.9937575,0.309221,0.5963532,-0.58929217,-0.28983545,2.1759682,-0.04384628,-0.59713304,39.32606,8.2843075,1.2333603,-0.4956481,22.094793,-0.05262297,1.4910504,-0.37395465
t90,-0.058954593,4.3100924,-0.17442384,2.139647,14.525777,-0.9738648,0.046033315,1.8174031,0.24294427,0.68461907,-0.6437184,-0.27743465,2.309667,-0.05607111,-0.45096454,40.77254,6.293429,1.262652,-0.46686614,23.180647,-0.09784687,1.7134743,-0.4134139
t91,-0.052541964,6.0166903,-0.2113203,3.4914296,12.886114,-0.83095205,0.065888144,2.76028,0.2959154,0.6139184,-0.6000516,-0.28731018,2.2044728,-0.046318043,-0.5678395,39.619904,7.9025474,1.2400594,-0.49004498,22.327326,-0.061577227,1.5360255,-0.38207018
t125,-0.06663623,2.1752524,-0.13075598,0.54123926,16.805645,-1.1600301,0.017055329,0.6778801,0.16927247,0.77596766,-0.7049385,-0.26328772,2.4748888,-0.06799227,-0.30096984,42.51268,4.3364563,1.3104422,-0.4459967,24.49034,-0.14579922,1.9545562,-0.45333236
t237,-0.06872376,1.2950526,-0.11591465,-0.042122234,17.66743,-1.2224762,0.0075444398,0.21652535,0.14070691,0.81704634,-0.73658526,-0.25436607,2.5104854,-0.07293748,-0.23024422,43.31127,3.3043594,1.3288113,-0.43765205,24.920961,-0.16593179,2.051983,-0.4712233
t238,-0.06872343,1.2949958,-0.115912996,-0.042121433,17.667442,-1.2224754,0.0075448495,0.21653466,0.14070788,0.81704867,-0.7365847,-0.2543663,2.5104847,-0.072938316,-0.23023932,43.31128,3.3042917,1.328804,-0.43765187,24.920969,-0.1659326,2.0519865,-0.47122535
t124,-0.06379139,2.9468627,-0.14658195,1.1084914,16.017109,-1.0925369,0.026128951,1.0847397,0.19509155,0.7434541,-0.68559825,-0.26806375,2.4209125,-0.06376819,-0.3528583,41.956436,5.0309715,1.2958441,-0.45463225,24.060728,-0.12942341,1.8729665,-0.44083384
t76,-0.050499555,6.3954372,-0.22153951,3.9201746,12.43383,-0.78407633,0.07273969,3.109763,0.31479165,0.5904294,-0.584553,-0.29019246,2.144325,-0.044041146,-0.5960602,39.150265,8.205342,1.2212328,-0.49563935,21.886791,-0.056265317,1.4777185,-0.3693105
t77,-0.052712493,5.710758,-0.204696,3.4325247,13.13696,-0.84729487,0.06376892,2.7208447,0.29211408,0.61832404,-0.60169494,-0.2876749,2.1883628,-0.04796919,-0.5478372,39.609238,7.5772114,1.2307972,-0.48617598,22.218683,-0.070215575,1.5514302,-0.38263565
t72,-0.048492398,6.7888765,-0.22967215,4.2656517,12.060606,-0.7498982,0.07738872,3.3424194,0.32562664,0.5723639,-0.5711014,-0.29191107,2.1136603,-0.04138148,-0.6187715,38.790504,8.533234,1.2101792,-0.49943691,21.634226,-0.046695992,1.434019,-0.3621572
t58,-0.050918728,5.2826467,-0.20040375,3.60968,13.47227,-0.84692955,0.062870376,2.851673,0.29058403,0.6129854,-0.5958662,-0.28090495,2.124084,-0.049293194,-0.51917595,39.240547,7.056882,1.2028803,-0.48408008,21.817963,-0.086730435,1.5527036,-0.379759
t7,2.3793893,11.584836,-0.31456277,12.427416,0.2309444,1.434584,0.18848729,7.694533,0.4114901,0.021298625,-0.25305733,-0.32868466,0.70225394,0.16939002,-0.9108196,20.139923,12.233473,0.7173086,-0.47225073,8.777279,2.748005,0.4603557,-0.05706305
t6,2.9470499,12.140338,-0.3313962,12.993073,-0.00010398377,1.6630268,0.19560142,7.6443024,0.3793637,0.0063790544,-0.21749073,-0.34268865,0.6901005,0.0636914,-0.91538286,19.06201,12.583639,0.72523904,-0.4616766,8.331246,3.5243385,1.8077548,-0.03354641
t3,3.625387,10.35116,-0.29081684,11.231177,-0.00025330606,1.2145274,0.16156018,6.0289025,0.2593035,0.009211771,-0.115484975,-0.27191254,0.564913,-0.0073031327,-0.68369085,13.912261,10.078202,0.5290974,-0.35416013,6.0436144,3.87081,3.1914027,-0.010713269
t9,10.022738,4.7048364,-0.21399103,9.437334,-0.0007559876,-0.40669507,0.055616993,3.1824613,0.011148295,0.092464946,1.5012759,-0.0594877,0.43442506,-0.0384056,-0.117511466,3.2376091,3.083011,0.29582253,-0.13422444,0.7976291,7.766,4.130586,-0.043593932
t10,10.958406,5.6306167,-0.24588124,10.721742,-0.0008259582,-0.38850367,0.0682453,3.6532452,0.0072249263,0.102246076,1.5832492,-0.0770659,0.4402751,-0.05205705,-0.1839579,4.236631,3.9564598,0.29283354,-0.15447058,1.1209551,8.460718,4.8648915,-0.051366366
t14,10.459982,5.1297655,-0.22775042,10.035217,-0.0007879522,-0.40252718,0.061538924,3.3782527,0.008894365,0.0969528,1.5957782,-0.065250546,0.44217154,-0.04506439,-0.14435355,3.7139943,3.4788275,0.30102628,-0.14399526,0.9602354,8.14069,4.491964,-0.045907933
t15,6.8794136,1.8474151,-0.13103934,5.483149,-0.00053243147,-0.49656367,0.024699021,1.6215904,0.01781578,0.05541304,1.6756885,0.060408946,0.44386393,0.101702124,0.8590188,0.69510126,0.5156639,0.34566474,-0.09103544,-0.004681937,5.8002663,1.6589762,-0.0083654495
t8,9.270985,3.9532301,-0.19188733,8.5316105,-0.0007153821,-0.42621064,0.047646135,2.7652943,0.0134844985,0.08184259,1.5298278,-0.038780592,0.4408931,-0.028183429,-0.06534773,2.630683,2.3440096,0.31008372,-0.12038468,0.47809044,7.364314,3.5972922,-0.034112804
