,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t99,-4.779028,6.177996,5.28567,5.5130706,3.8763855,5.717227,3.455474,7.0512123,3.8366356,6.4626665,3.2597835,5.176145,3.0434923,6.6056056,5.533136,5.6591263,7.0768003,3.9317892
t100,12.098198,3.1484976,3.0543342,2.4689991,4.918404,5.3996334,3.6653445,6.712801,5.321945,4.691906,2.777786,2.0382643,1.8368013,5.8192697,3.5088737,6.2600365,6.284896,7.114179
t101,-4.709831,5.4858346,6.2169065,4.751487,4.1621284,6.612654,4.193709,7.437677,2.7362835,6.356758,2.1456254,5.9941597,3.1713758,6.011363,4.1415877,6.2047234,6.3832574,3.307679
t102,-4.8320546,5.422183,6.406975,4.787364,4.129428,6.720836,4.3672175,7.419466,2.568345,6.476534,2.0140855,6.0866246,3.2337835,6.0356193,4.064,6.2054,6.2528353,3.2002645
t103,9.708913,14.8146715,2.9463851,6.592139,1.709392,4.40042,2.1953938,3.3784437,6.1612496,6.568474,2.18378,3.6547127,6.6776843,2.2164795,6.8176,6.397255,6.40479,1.6933893
t104,9.745767,14.772351,2.89506,6.5524697,1.813854,4.559585,2.1833704,3.3678236,6.183551,6.547102,2.2572315,3.561538,6.6772113,2.253196,6.8816557,6.4787645,6.481435,1.7032791
t105,9.422345,14.577725,2.7447028,6.5408196,1.8371991,3.9654667,1.8455381,3.0037322,5.409505,6.9349036,2.1450071,4.4325833,5.845105,1.7434232,6.300594,5.581107,6.7783127,0.6743135
t106,9.51198,14.621295,2.7797472,6.485126,1.8608125,4.0652175,1.9307435,3.0753253,5.5337915,6.8703666,2.1098487,4.291915,5.961451,1.853537,6.456457,5.692885,6.670051,0.81346864
t107,9.418645,14.611932,2.7471554,6.545744,1.8123115,3.966476,1.8513981,3.0065453,5.4554367,6.9246974,2.1522543,4.403772,5.8914757,1.7573229,6.3433847,5.6278944,6.7637367,0.72138697
t108,-4.655048,5.530776,6.1155763,4.760854,4.1470947,6.5810575,4.109888,7.4764667,2.9034903,6.2266884,2.1863356,5.9246755,3.1091285,6.0960984,4.3028855,6.1932774,6.4493213,3.375253
t109,-4.969537,5.386735,6.5854716,4.848562,4.0004597,6.8942575,4.518349,7.353991,2.597836,6.3755975,1.7791834,6.119189,3.2371676,6.3589125,4.1576033,6.433357,6.098184,3.1844625
t110,9.384901,14.66345,2.7333302,6.5885887,1.7579459,3.9334874,1.8170701,2.9707854,5.468808,6.9395604,2.1978354,4.3995667,5.928835,1.7498747,6.3666425,5.668526,6.784733,0.74453616
t111,9.467376,14.591226,2.7622538,6.5442867,1.8649613,4.011001,1.8798978,3.0326295,5.420395,6.9151316,2.1463497,4.3872824,5.8710823,1.7749685,6.34036,5.6079516,6.7390914,0.71095073
