,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t100,-0.044254772,-0.10146896,-0.10532305,0.06197756,8.671769,-0.22932938,-0.00857561,-0.18588288,3.6679223,1.6876986,-0.97502416,7.02385,0.00613375,4.7273784,6.714834
t101,-0.04184604,-0.10204397,-0.10663751,0.04746919,8.685511,-0.22401452,-0.0076001207,-0.18654126,3.671174,1.6906391,-0.9793263,7.041553,0.007291851,4.7348795,6.723503
t102,-0.42867878,-0.15573703,2.7776144,3.5009615,4.808324,18.203014,-0.5862214,-0.058774028,-0.06690793,0.23745143,3.2657137,10.514783,0.009404701,4.511563,-0.21306643
t103,-0.4292966,-0.15587115,2.8014855,3.505326,4.8093734,18.224945,-0.59351695,-0.058914192,-0.06677308,0.23568933,3.2782443,10.529169,0.0078083947,4.522164,-0.21254319
t104,-0.9474565,-0.02527553,24.111252,0.5759312,-0.10445542,7.5433846,-1.7572048,-0.27302447,1.9760373,0.8933175,20.814611,0.038803574,0.43511477,2.5720472,-0.07553084
t105,-0.042885035,-0.10624901,-0.10427638,0.0070899418,8.962377,-0.24415332,-0.013122431,-0.189059,3.9912066,1.8192225,-1.0206118,7.3803515,0.001502008,4.8993025,6.947148
t106,-0.044971477,-0.10628939,-0.104501314,0.0070244945,8.978222,-0.24657919,-0.011142892,-0.18861093,3.9782822,1.8173743,-1.0197306,7.384288,0.0024700928,4.8978767,6.9478397
t107,-0.016422214,-0.10300238,-0.101187535,0.011767391,8.603218,-0.22729261,-0.0068775876,-0.17733139,3.7865913,1.7409354,-0.9964663,7.1816616,0.017700411,4.7371135,6.6860094
t108,-0.9027175,-0.026579767,24.036179,0.5879253,-0.109078474,7.177245,-1.7373135,-0.2715493,2.3232925,1.010921,20.72681,0.04049594,0.45476168,2.1810656,-0.10940369
t109,-0.9476663,-0.025736907,24.159649,0.5785101,-0.10416666,7.569342,-1.7604901,-0.2734194,1.9726162,0.89847374,20.85191,0.03871225,0.43675527,2.5928278,-0.07510992
t110,-0.017016098,-0.10544272,-0.10391382,0.0143397115,8.828568,-0.20446222,-0.013594563,-0.18029356,3.8359144,1.7714745,-1.0197494,7.3437862,0.015315021,4.852646,6.8010335
t111,-0.01668539,-0.105617166,-0.10399924,0.014816003,8.8449335,-0.2014994,-0.0138174025,-0.18069153,3.8634853,1.7731683,-1.022055,7.354674,0.015668064,4.8506417,6.805128
t112,-0.94982797,-0.014489048,23.385656,0.54259604,-0.1086926,7.3616247,-1.7719735,-0.23806348,1.9360874,0.96951306,20.146572,0.04023197,0.4472403,2.3006852,-0.18082939
t113,-1.007075,-0.013888546,23.524895,0.5292288,-0.10189826,7.873215,-1.8016194,-0.2415383,1.4624811,0.8231237,20.301685,0.038225137,0.4236208,2.828161,-0.13357612
t114,-1.0125917,-0.0130252605,23.488916,0.52683353,-0.10244934,7.861318,-1.8028262,-0.24205726,1.4649181,0.819603,20.266209,0.038029052,0.4187791,2.8388655,-0.12859318
t115,-1.0106618,-0.013928126,23.495985,0.52826005,-0.10265529,7.8383613,-1.8018113,-0.24325126,1.4725581,0.82962793,20.278015,0.03831415,0.42155558,2.8019717,-0.12963866
t116,-0.023462946,-0.10225176,-0.10124866,0.0077754026,8.588702,-0.22032326,-0.0052937637,-0.17627506,3.7321625,1.7063978,-0.9838424,7.075001,0.01549823,4.71649,6.637715
t117,-0.026247697,-0.102058865,-0.100046724,0.008959576,8.580761,-0.2212973,-0.0042545903,-0.1757705,3.7371979,1.710051,-0.985735,7.063779,0.01568355,4.693872,6.626111
t118,-0.9119816,-0.030382551,26.654835,0.7053717,-0.14439176,6.6971188,-1.8762053,-0.3062514,3.5832412,1.6195337,22.871569,0.035285886,0.5561037,1.5832871,-0.25055644
t119,-0.41134784,-0.14918338,2.8200095,3.6218185,4.9119706,18.448524,-0.6224444,-0.0374856,-0.06507256,0.2537302,3.4470341,10.716037,0.020278087,4.4233837,-0.23658974
t120,-0.41153923,-0.14924558,2.816559,3.629699,4.9064093,18.447262,-0.62156034,-0.036747806,-0.065132566,0.24852122,3.4475117,10.681396,0.020488173,4.4226894,-0.2354086
t121,5.309071,-0.11264797,-0.09245792,4.861682,0.15030019,2.3723357,-0.14827803,-0.09420333,3.6327994,1.3690537,-0.006441302,6.69678,7.2146664,7.3242893,6.242316
t122,-0.41213435,-0.14935622,2.7833748,3.6129453,4.9107413,18.448025,-0.6175869,-0.037095066,-0.06511576,0.2536472,3.4300134,10.716759,0.023084573,4.398163,-0.23825784
t123,-0.41595885,-0.14901891,2.797062,3.6285725,4.919192,18.450283,-0.61822504,-0.03645849,-0.06533913,0.25159198,3.430624,10.7099495,0.024362814,4.4018917,-0.23750642
t124,5.006879,-0.11638379,-0.09981521,4.3459992,-0.005226319,2.4267938,-0.11973667,-0.100609325,3.1200316,1.3371735,-0.05051069,6.028676,6.538387,7.1814013,6.05442
t125,-0.0336811,-0.10694405,-0.10870417,0.015403596,9.1770315,-0.31641048,-0.008187584,-0.19824354,3.9829032,1.8622903,-1.0491818,7.680418,0.0074769203,4.9739428,7.1202354
t126,-0.032515116,-0.107014224,-0.10878801,0.016540643,9.189271,-0.3185626,-0.007263927,-0.19841294,3.9894195,1.8682019,-1.0507067,7.6948833,0.007201106,4.982515,7.130705
t127,-0.9090293,-0.030401533,26.644142,0.704622,-0.14412059,6.6966124,-1.8730872,-0.30587128,3.5798104,1.6165663,22.86251,0.035675246,0.55590636,1.5854819,-0.2475563
t128,-0.9092016,-0.03021414,26.65086,0.70507205,-0.14421622,6.694001,-1.8741682,-0.30514097,3.5901875,1.619948,22.860151,0.035531413,0.55657107,1.5828023,-0.25169033
t129,-0.39064136,-0.12645465,2.4309556,3.4137676,4.536459,16.854164,-0.50033695,-0.053600308,-0.06300615,0.2051165,3.0389068,9.870548,0.017926918,4.0537567,-0.2625233
t130,-0.42911077,-0.13219269,2.589759,3.4245656,4.725518,17.122356,-0.489015,-0.0634102,-0.06610787,0.12146596,3.1231258,9.809896,0.015176838,4.3119764,-0.26411018
t131,0.68037784,-0.064542145,-0.08006075,1.6166186,4.5550904,0.75048727,-0.051796492,-0.07972387,2.414978,0.9621172,-0.3963451,4.5576286,1.3459597,3.6858149,4.542661
t132,0.55481887,-0.06266651,-0.08163114,1.6132237,4.5476503,0.8133413,-0.04135381,-0.07970936,2.3518531,0.92524767,-0.38833353,4.3453984,1.2818174,3.547236,4.4391193
t133,5.791599,-0.13096748,-0.0927877,4.8527246,-0.032920573,2.5828633,-0.1367203,-0.0807469,3.647198,1.5483404,-3.3954195e-05,6.7709427,7.461732,7.896382,6.4957795
t134,5.762817,-0.1309453,-0.09204318,4.8677807,-0.03281266,2.5866632,-0.13741815,-0.08144271,3.6300216,1.5457814,-0.002383347,6.7473526,7.4631896,7.8802447,6.4998517
t135,5.769436,-0.13097183,-0.092752986,4.8697977,-0.03245495,2.5749493,-0.13654041,-0.0821015,3.6258192,1.5498233,-0.0007443957,6.76241,7.4678435,7.889747,6.5131426
t136,5.2048683,-0.11328023,-0.113974825,4.519619,-0.0010017543,2.462263,-0.089921124,-0.09013581,3.250332,1.3629833,-0.030905457,6.2991195,6.759508,7.2883124,6.296066
t137,5.206989,-0.11302569,-0.11374772,4.5056276,-0.0018951739,2.4418411,-0.08904642,-0.089486286,3.2361279,1.359808,-0.030203909,6.2767487,6.7503085,7.2709875,6.279535
t138,-0.024506003,-0.10101199,-0.10566368,0.073557876,8.574881,-0.18989475,-0.019468375,-0.18294372,3.7298799,1.6651762,-0.9645295,7.0173473,0.008425388,4.7103066,6.624534
t139,-0.024857543,-0.10093488,-0.10570305,0.07354559,8.582737,-0.19091392,-0.01919637,-0.18382849,3.7265925,1.6640974,-0.966197,7.01346,0.0082888985,4.7012587,6.6265383
t140,5.0215473,-0.11665533,-0.1001899,4.3581724,-0.005399558,2.427609,-0.12174293,-0.100918934,3.1214979,1.3368154,-0.052433368,6.034821,6.553996,7.202387,6.0732236
t141,5.0232654,-0.11673624,-0.10022471,4.352258,-0.0052732783,2.4314077,-0.121182136,-0.10086006,3.1227472,1.3382895,-0.053344317,6.0397754,6.5503864,7.2030034,6.0737014
t142,5.3266525,-0.112950146,-0.09330217,4.8581467,0.16247827,2.373708,-0.14800018,-0.09401909,3.6531456,1.3715802,-0.0061252676,6.711518,7.2167406,7.3482957,6.2568154
t143,5.3301954,-0.1129518,-0.093026854,4.857004,0.1591312,2.3794553,-0.14850661,-0.093987346,3.6519616,1.3707296,-0.0066277827,6.715486,7.223861,7.344551,6.2486024
